regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,101MünchenHadern,102MünchenBogenhausen,103MünchenGiesing,104MünchenMilbertshofen,105MünchenMoosach,106MünchenPasing,107MünchenRamersdorf,108MünchenSchwabing,109Altötting,"110Bad TölzWolfratshausen,GarmischPartenkirchen",111BerchtesgadenerLand,112Dachau,113Ebersberg,114Eichstätt,115Erding,116Freising,117FürstenfeldbruckOst,"118Ingolstadt,Neuburga.d.Donau","119Landsbergam Lech,FürstenfeldbruckWest",120Miesbach,121Mühldorf a.Inn,122MünchenLandNord,123MünchenLandSüd,124NeuburgSchrobenhausen,125Pfaffenhofen a.d.Ilm,126RosenheimOst,127RosenheimWest,128Starnberg,129Traunstein,130WeilheimSchongau
901,5,FDP,16,"Manke, Dr. Berthold",20,,2480,585,19,27,30,36,20,18,31,33,6,12,4,17,23,10,20,1895*,17,8,31,12,6,56,26,5,15,21,12,48,14,8
901,5,FDP,17,"Siebel, Dr. Andreas",13,,3491,816,36,85,55,73,2675*,85,31,92,11,28,9,11,23,3,15,14,21,9,23,11,5,25,61,1,5,18,11,26,12,17
901,5,FDP,18,"Koschay, Dr. Volker",14,,3026,585,10,14,25,16,8,12,11,27,5,2441*,2,6,6,,4,14,10,3,39,7,1,11,18,3,4,6,4,76,4,239
901,5,FDP,19,"Kammer, Rochus",12,,3563,298,5,18,12,8,6,7,16,27,1,4,3,2,23,2,7,1,11,4,3,11,5,3265*,80,1,3,11,8,10,6,3
901,5,FDP,20,"Wollenberg, Dr. Klaus",11,,3864,945,36,30,36,57,28,32,27,79,9,26,10,30,22,7,11,14,2919*,14,245,23,5,25,50,6,9,14,12,61,16,11
901,5,FDP,21,"Schmidt, Wolfgang",30,,996,148,4,6,7,5,6,8,6,7,5,3,3,10,5,3,8,8,6,2,3,3,,7,6,848*,9,2,2,6,5,3
901,5,FDP,22,"Krieger, Sebastian",16,,2604,225,5,7,11,4,7,7,5,11,1,42,4,1,,,3,11,6,2,19,6,2,6,4,2,5,2,4,43,5,2379*
901,5,FDP,23,"Wildt, Florian",29,,1079,328,10,20,21,16,11,12,14,24,12,10,8,8,11,5,12,13,11,5,6,8,751*,18,16,1,3,12,12,16,6,7
901,5,FDP,24,"Teichmann, Andreas",19,,2500,335,5,10,8,7,5,11,2,8,2,3,4,9,3,5,5,5,184,4,2165*,4,1,8,10,,2,5,5,12,3,5
901,5,FDP,25,"Gluchow, Adrian",24,,1859,318,7,13,10,13,7,5,12,17,4,7,4,11,6,,4,16,4,2,6,5,3,102,14,2,3,25,1541*,8,2,6
901,5,FDP,26,"Binder, Kurt",28,,1135,84,4,2,1,1,2,1,2,1,3,6,1051*,2,1,,2,,4,2,4,3,3,1,1,1,1,3,3,3,24,3
901,5,FDP,27,"Lanzinger, Rupert",26,,1811,182,7,11,6,7,3,7,5,4,5,10,2,4,24,2,1629*,15,5,4,2,8,6,5,5,2,6,7,5,8,1,6
901,5,FDP,28,"Daschner, Rainer",22,,2190,280,6,10,12,13,4,9,8,10,2,5,4,11,10,12,5,33,6,24,7,3,1,10,6,51,1910*,2,8,5,1,2
901,5,FDP,29,"Thauer, Günther",27,,1309,106,,3,2,2,2,,1,2,1,,1,1,3,1203*,1,3,1,48,5,2,,,1,10,12,,1,3,,1
901,5,FDP,30,"Bezdeka, Klement",56,,82,82,5,4,8,8,3,4,3,3,,4,3,1,3,,2,1,3,1,1,1,2,4,4,1,1,3,1,2,,6
901,5,FDP,31,"Klein, Robert",37,,356,356,23,16,29,31,15,15,19,33,6,6,3,11,10,4,4,8,8,5,7,13,3,13,27,1,2,8,5,13,10,8
901,5,FDP,32,"Kunzmann, Gerald",40,,305,305,8,12,9,8,9,16,16,9,4,10,7,5,5,2,6,9,8,9,11,8,3,48,46,5,4,3,5,12,5,3
901,5,FDP,33,"Hundesrügge, Britta",34,,489,489,3,7,14,19,8,13,5,22,2,11,,4,4,4,6,13,7,4,9,1,6,4,16,2,2,3,5,291,2,2
901,5,FDP,34,"Bachhuber, Stephanie",48,,226,226,10,15,15,20,14,13,17,19,3,6,2,3,9,1,4,9,4,5,2,7,1,7,8,6,3,4,6,6,5,2
901,5,FDP,35,"Luppert, Michael",35,,460,460,8,20,23,25,6,14,13,25,9,12,2,9,6,5,13,12,22,7,79,9,9,13,28,7,11,15,10,29,7,12
901,5,FDP,36,"Bauer, Siegfried",36,,413,413,4,3,2,5,2,2,2,3,1,4,3,3,4,75,5,2,,203,,3,2,5,4,28,34,2,5,4,,3
901,5,FDP,37,"Ruoff, Dr. Michael",51,,191,191,6,34,17,12,12,9,6,15,4,3,2,1,11,1,1,5,6,2,,2,1,6,9,2,4,3,4,7,2,4
901,5,FDP,38,"Güthe, Dr. Joachim",50,,223,223,12,10,15,17,13,13,11,27,1,8,,5,10,2,2,10,8,8,1,4,,10,10,,4,2,4,8,2,6
901,5,FDP,39,"Brüser, Herbert",55,,88,88,6,6,4,2,5,22,4,5,,1,1,1,6,1,1,2,5,,1,1,,3,4,,,3,,2,2,
901,5,FDP,40,"Seidlein von, MariaTheresia",32,,552,552,10,59,49,36,15,26,11,60,3,16,1,4,13,1,3,4,9,6,9,17,1,12,113,2,3,5,3,45,6,10
901,5,FDP,41,"Stangl, Dr. Christian",39,,310,310,12,17,16,19,9,10,3,17,2,8,2,63,7,4,4,31,9,5,8,1,4,9,15,4,6,5,1,13,4,2
901,5,FDP,42,"Griese, Peter",45,,267,267,4,6,4,1,2,4,3,2,5,18,6,4,3,6,3,4,2,3,2,127,4,4,1,2,2,10,17,10,6,2
901,5,FDP,43,"Rehbock, Dr. Klaus",43,,293,293,5,4,7,5,5,6,4,13,2,2,,1,7,2,1,4,133,1,11,2,3,6,9,,1,1,3,48,5,2
901,5,FDP,44,"Rump, Dr. Alexis",31,,841,841,46,73,37,69,35,37,29,94,11,29,16,11,14,7,15,17,24,15,23,16,8,27,39,6,3,20,16,67,23,14
901,5,FDP,45,"Gill, Constanze",38,,313,313,12,11,13,15,5,6,6,10,3,8,3,15,10,2,9,82,8,5,10,4,3,8,6,11,13,7,3,16,4,5
901,5,FDP,46,"Schlebusch, Monika",53,,138,138,2,5,1,3,6,2,1,3,1,62,2,,1,1,,1,2,,4,1,1,1,3,1,2,1,4,7,2,18
901,5,FDP,47,"Gruber, Eduard",46,,256,256,2,4,5,2,,1,1,3,8,2,27,3,3,,2,6,3,2,6,2,2,2,5,1,,38,6,5,112,3
901,5,FDP,48,"Toman, Lui",44,,275,275,3,8,8,15,4,12,6,15,6,7,1,5,2,3,6,4,11,3,8,6,3,12,11,85,6,6,2,4,4,9
901,5,FDP,49,"Müller, Alexander",52,,168,168,3,1,3,1,1,1,1,2,3,1,,,112,2,1,2,1,1,1,1,,3,3,4,1,3,7,1,2,6
901,5,FDP,50,"Mierke, Jörn",47,,242,242,1,5,,2,2,3,1,2,144,3,38,1,,,,3,,,,1,16,1,3,,,1,1,1,12,1
901,5,FDP,51,"Merx, Saika",42,,294,294,3,12,5,5,3,5,1,4,,22,5,,4,4,2,3,4,1,19,2,,1,7,1,2,1,3,43,1,131
901,5,FDP,52,"Ostwald, Moritz",54,,112,112,7,8,9,9,2,2,3,26,2,3,,1,2,1,2,3,2,3,3,,,3,4,,1,1,1,5,6,3
901,5,FDP,53,"Resch, Georg",41,,297,297,2,4,3,3,5,5,6,13,1,9,3,5,8,4,4,1,3,,3,16,1,5,13,3,3,76,80,5,9,4
901,5,FDP,54,"Ruf, Hubert",49,,224,224,5,7,10,6,2,4,3,3,,2,3,4,5,4,113,4,3,1,4,3,3,2,5,1,5,3,4,10,,5
901,5,FDP,55,"Niedermayr, Franz",33,,551,551,4,10,8,8,8,8,6,7,2,2,5,18,3,11,3,29,7,12,5,4,,5,5,46,318,4,3,6,1,3
901,5,FDP,56,"Hohenthaner, Johannes",23,,1940,457,20,27,26,38,24,32,27,35,6,6,2,1483*,13,6,14,20,23,8,16,6,1,26,27,8,1,5,4,15,11,10
901,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,1573,1573,39,57,87,45,55,45,35,90,19,54,60,44,51,12,39,42,69,22,59,55,36,80,86,18,35,48,57,141,26,67
901,5,FDP,,Erststimmen insgesamt,,,81311,,2978,5054,4573,4158,2675,3217,2650,6005,943,2441,1051,1483,3152,1203,1629,1895,2919,1774,2165,1629,751,3265,5837,848,1910,1796,1541,7757,1633,2379
901,5,FDP,,Zweitstimmen insgesamt,,,80577,80577,3135,4937,4424,4423,2699,3424,2859,5591,1067,2845,1218,1663,2501,1082,1486,2079,2929,1368,2494,2167,1093,3865,5532,1044,1409,2172,1678,5438,1598,2357
901,5,FDP,,Gesamtstimmen,,,161888,80577,6113,9991,8997,8581,5374,6641,5509,11596,2010,5286,2269,3146,5653,2285,3115,3974,5848,3142,4659,3796,1844,7130,11369,1892,3319,3968,3219,13195,3231,4736
901,6,Die Linke,1,"Wolf, Brigitte",1,,12747,10824,554,1923*,739,750,478,470,495,644,249,319,227,313,302,235,336,386,378,255,449,216,205,440,339,167,198,291,280,301,357,451
901,6,Die Linke,2,"Lindner, Manfred",2,,3800,2295,64,459,90,75,51,66,57,65,39,51,52,45,46,1505*,45,58,69,262,76,36,40,57,46,84,95,39,45,48,65,70
901,6,Die Linke,3,"Schimmel, Laura",3,,3442,1932,113,228,184,138,88,81,1510*,102,32,55,34,50,42,39,36,77,56,24,57,30,34,58,56,32,32,48,50,46,39,71
901,6,Die Linke,4,"Siebicke, Jürgen",9,,2076,464,10,14,10,6,2,11,8,6,,2,2,3,2,177,8,13,5,1612*,9,3,3,3,3,78,50,2,8,12,7,7
901,6,Die Linke,5,"SchlumbergerDogu, Lilian",7,,2240,622,20,39,26,29,18,19,25,1618*,6,9,10,159,7,7,12,23,33,9,34,7,10,28,11,5,7,10,14,19,7,19
901,6,Die Linke,6,"Hoyer, Dr. Guido",5,,2702,1192,35,39,59,45,39,38,47,55,27,49,25,38,32,24,73,1510*,52,39,48,41,15,39,36,27,50,40,37,39,47,57
901,6,Die Linke,7,"Weiß, Kerstin",4,,3432,985,59,61,2447*,67,43,48,66,57,16,29,24,23,28,18,29,40,37,25,31,11,17,46,49,20,10,23,32,23,29,24
901,6,Die Linke,8,"Ischinger, Karl",32,,635,635,30,41,48,42,33,41,42,25,12,28,6,11,20,5,18,17,24,13,18,12,9,30,23,5,5,11,13,17,14,22
901,6,Die Linke,9,"Jokisch, Sophia",8,,2128,973,26,46,43,31,28,26,17,40,33,22,30,16,38,22,31,35,25,16,39,21,52,26,19,22,14,98,1155*,28,90,39
901,6,Die Linke,10,"Sprinz, Hansjoachim",10,,2054,344,8,17,11,9,10,10,6,8,7,16,4,4,5,1,3,9,23,3,1710*,7,3,9,10,2,3,16,4,45,10,81
901,6,Die Linke,11,"Padovan, Elfi",41,,318,318,26,35,31,31,14,17,7,14,6,7,4,6,4,2,7,8,12,6,7,3,6,8,8,5,2,5,10,8,8,11
901,6,Die Linke,12,"Hänsel, Lutz",24,,1237,311,6,6,6,2,6,6,5,10,4,134,1,3,4,1,3,2,10,3,12,9,4,2,10,5,6,10,3,926*,6,32
901,6,Die Linke,13,"Siebe, Dr. Michaele",34,,562,562,29,39,42,69,24,22,25,43,8,19,9,8,14,2,15,12,12,10,20,5,8,13,14,1,6,17,11,10,12,43
901,6,Die Linke,14,"Keller, Johannes",23,,1242,328,16,33,20,14,24,14,15,15,7,8,4,4,914*,5,7,9,11,11,11,1,5,17,13,11,7,9,5,16,7,9
901,6,Die Linke,15,"Fink, Gisela",35,,528,528,12,11,13,10,7,11,6,16,10,13,9,5,12,11,29,203,15,5,10,5,8,21,9,11,10,6,16,6,13,15
901,6,Die Linke,16,"Keller, Roland",26,,1189,200,5,8,4,6,5,7,6,10,1,6,3,9,2,31,7,5,4,28,5,5,1,3,2,989*,17,3,2,6,6,3
