regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,701  Augsburg-Stadt-Ost,702  Augsburg-Stadt-West,703  Aichach-Friedberg,"704  Augsburg-Land, Dillingen",705  Augsburg-Land-Süd,706  Donau-Ries,707  Günzburg,708  Kaufbeuren,"709  Kempten, Oberallgäu","710  Lindau, Sonthofen",711  Marktoberdorf,712  Memmingen,713  Neu-Ulm
907,12,Piraten,8,"Steppuhn, Werner",11,,1505,362,23,72,50,1143*,29,94,16,16,7,10,14,16,15
907,12,Piraten,9,"Ristl, Rudolf Felix",13,,1167,318,25,33,19,37,41,16,849*,19,16,11,24,15,62
907,12,Piraten,10,"Zenetti, Thomas",3,,3075,1430,445,1645*,167,158,302,84,65,47,25,31,26,37,43
907,12,Piraten,11,"Özbay, Cagatay",12,,1492,679,105,77,55,98,73,813*,36,30,39,41,35,35,55
907,12,Piraten,12,"Staude, Oliver",10,,1667,569,18,33,35,16,39,14,23,107,84,41,1098*,110,49
907,12,Piraten,13,"Proißl, Michael",8,,1905,611,34,36,18,43,70,30,150,27,33,43,24,103,1294*
907,12,Piraten,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,192,192,10,32,21,7,15,7,7,12,3,43,7,12,16
907,12,Piraten,,Erststimmen insgesamt,,,16195,,1757,1645,1243,1143,1699,813,849,1181,950,1318,1098,1205,1294
907,12,Piraten,,Zweitstimmen insgesamt,,,14709,14709,1833,1424,1121,945,1406,738,825,1028,998,1252,1042,928,1169
907,12,Piraten,,Gesamtstimmen,,,30904,14709,3590,3069,2364,2088,3105,1551,1674,2209,1948,2570,2140,2133,2463
