regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,201Deggendorf,202Dingolfing,203Kelheim,204Landshut,205PassauOst,206PassauWest,"207Regen,FreyungGrafenau",208RottalInn,209Straubing
902,5,FDP,18,"Göttlinger, Christian",18,,335,335,9,154,7,111,14,7,9,12,12
902,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,129,129,17,11,13,23,12,14,8,21,10
902,5,FDP,,Erststimmen insgesamt,,,19203,,1343,3097,1651,3231,3098,1532,1704,1585,1962
902,5,FDP,,Zweitstimmen insgesamt,,,20086,20086,1790,2334,2270,2423,2045,1772,4136,1478,1838
902,5,FDP,,Gesamtstimmen,,,39289,20086,3133,5431,3921,5654,5143,3304,5840,3063,3800
902,6,Die Linke,1,"Barthel, Jürgen",1,,3086,2348,241,244,242,375,408,266,278,738*,294
902,6,Die Linke,2,"Karl, Helga",4,,1675,1675,82,395,105,228,153,85,101,355,171
902,6,Die Linke,3,"Pannicke, Rolf",9,,1200,1200,424,71,52,92,150,63,165,61,122
902,6,Die Linke,4,"Ringlstetter, Karl",2,,2258,1003,93,141,110,192,198,91,91,87,1255*
902,6,Die Linke,5,"Reddies, Wolfgang",7,,1442,426,23,19,16,21,249,1016*,45,22,31
902,6,Die Linke,6,"Hofmann, Kai",3,,2198,631,34,39,43,57,1567*,257,86,48,67
902,6,Die Linke,7,"Fleischmann, Stefan",5,,1549,311,20,1238*,29,69,37,29,24,38,65
902,6,Die Linke,8,"Schmelz, Walter",12,,464,464,225,19,9,19,58,27,57,11,39
902,6,Die Linke,9,"Zisler, Reinhard",6,,1492,258,11,91,69,1234*,21,9,12,16,29
902,6,Die Linke,10,"Hengst, Ralf",13,,414,414,31,110,25,62,38,28,35,29,56
902,6,Die Linke,11,"Stetzuhn, Boris",11,,984,64,1,8,3,11,30,2,920*,2,7
902,6,Die Linke,12,"Tresnak, Peter",14,,409,409,76,32,35,43,36,28,29,23,107
902,6,Die Linke,13,"Esterl, Karlheinz",8,,1252,193,1059*,13,12,21,36,15,51,10,35
902,6,Die Linke,14,"Schwikowski, Michael",10,,1023,219,15,23,804*,69,44,18,10,10,30
902,6,Die Linke,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,77,77,7,6,6,5,14,8,8,18,5
902,6,Die Linke,,Erststimmen insgesamt,,,9831,,1059,1238,804,1234,1567,1016,920,738,1255
902,6,Die Linke,,Zweitstimmen insgesamt,,,9692,9692,1283,1211,756,1264,1472,926,992,730,1058
902,6,Die Linke,,Gesamtstimmen,,,19523,9692,2342,2449,1560,2498,3039,1942,1912,1468,2313
902,7,ÖDP,1,"Suttner, Bernhard",1,,7812,4280,607,712,605,657,431,381,486,401,3532*
902,7,ÖDP,2,"Becker, Agnes",2,,3100,1086,55,80,89,118,2014*,156,78,63,447
902,7,ÖDP,3,"Schützeneder, Konrad",3,,2895,622,32,77,62,53,105,139,25,2273*,129
902,7,ÖDP,4,"Pix, Dr. Helmut",4,,2625,379,83,2246*,17,36,25,34,25,95,64
902,7,ÖDP,5,"Heilmeier, Lorenz",6,,2165,229,,95,28,1936*,5,6,4,10,81
902,7,ÖDP,6,"Setzensack, Annette",8,,1823,99,4,13,1724*,47,12,5,3,7,8
902,7,ÖDP,7,"Lirsch, Katharina",5,,2515,2515,35,57,43,58,64,264,27,1910,57
902,7,ÖDP,8,"Ruhland, Renate",13,,975,975,31,27,28,43,201,48,497,33,67
902,7,ÖDP,9,"Kastner, Paul",12,,978,978,7,9,9,12,771,138,18,8,6
902,7,ÖDP,10,"Dasch, Georg",10,,1162,1162,12,34,19,24,19,7,21,12,1014
902,7,ÖDP,11,"Kirmis, HansPeter",11,,1051,44,5,4,8,4,10,2,1007*,4,7
902,7,ÖDP,12,"Lechner, FranzXaver",9,,1538,231,1307*,27,19,24,15,82,12,22,30
902,7,ÖDP,13,"Aigner, Alois",15,,703,703,18,469,31,34,14,31,7,67,32
902,7,ÖDP,14,"Hackelsperger, Ferdinand",18,,461,461,2,3,432,10,1,2,2,3,6
902,7,ÖDP,15,"Ohly, Ingrid",7,,2132,218,10,13,15,10,127,1914*,9,17,17
902,7,ÖDP,16,"Grosser, Franz",14,,882,882,15,88,51,592,19,18,14,47,38
902,7,ÖDP,17,"Ritt, Dr. Rudolf",16,,613,613,8,14,5,9,513,19,13,7,25
902,7,ÖDP,18,"Kerschl, Christian",17,,524,524,266,22,13,22,23,18,97,13,50
902,7,ÖDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,134,134,14,15,19,11,19,10,7,19,20
902,7,ÖDP,,Erststimmen insgesamt,,,17953,,1307,2246,1724,1936,2014,1914,1007,2273,3532
902,7,ÖDP,,Zweitstimmen insgesamt,,,16135,16135,1204,1759,1493,1764,2374,1360,1345,2738,2098
902,7,ÖDP,,Gesamtstimmen,,,34088,16135,2511,4005,3217,3700,4388,3274,2352,5011,5630
902,8,REP,1,"Johann, Franz",1,,2297,1254,208,1043*,137,209,160,110,136,134,160
902,8,REP,2,"Hübing, Dieter",2,,963,323,640*,167,10,14,16,9,62,11,34
902,8,REP,3,"Söldner, Erwin",12,,250,250,22,51,6,18,16,9,8,10,110
902,8,REP,4,"Bittmann, Hermann",5,,644,224,89,28,8,14,57,10,420*,9,9
902,8,REP,5,"Berger, Brigitte",10,,455,219,27,29,236*,21,17,82,10,20,13
902,8,REP,6,"Berger, Franz",9,,505,91,14,16,19,5,16,414*,8,9,4
902,8,REP,7,"Lehner, Jakob",11,,318,318,25,32,19,16,16,16,18,16,160
902,8,REP,8,"Seitz, Herbert",3,,842,188,12,16,6,11,654*,24,102,5,12
902,8,REP,9,"Viertel, Dietmar",8,,566,150,9,90,25,416*,4,3,4,9,6
902,8,REP,10,"Weinzierl, Rupert",7,,568,568,28,390,14,33,21,8,20,30,24
902,8,REP,11,"Kieninger, Franz",4,,718,227,32,34,28,34,34,13,29,23,491*
902,8,REP,12,"List, Robert",6,,606,348,46,10,15,14,83,149,20,258*,11
902,8,REP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,44,44,7,8,2,4,3,6,5,8,1
902,8,REP,,Erststimmen insgesamt,,,4572,,640,1043,236,416,654,414,420,258,491
902,8,REP,,Zweitstimmen insgesamt,,,4204,4204,519,871,289,393,443,439,422,284,544
902,8,REP,,Gesamtstimmen,,,8776,4204,1159,1914,525,809,1097,853,842,542,1035
902,9,Bayern Partei,1,"Roßmüller, Sascha Alfred",1,,3124,1960,320,292,215,198,220,207,286,222,1164*
902,9,Bayern Partei,2,"Steinleitner, Alfred",2,,2042,1135,907*,131,57,75,148,147,199,76,302
902,9,Bayern Partei,3,"Salzberger, Franz",3,,1273,526,135,77,36,31,36,31,35,747*,145
902,9,Bayern Partei,4,"Haese, Peter Joachim Bruno",7,,998,354,20,29,16,17,644*,36,12,217,7
902,9,Bayern Partei,5,"Freimuth, Otto Michael",4,,1088,153,26,14,21,13,34,12,935*,12,21
902,9,Bayern Partei,6,"Rochner, Wolfgang",10,,614,55,2,6,559*,14,4,2,8,5,14
902,9,Bayern Partei,7,"Helml, Georg",6,,1019,265,101,754*,19,18,19,31,47,13,17
902,9,Bayern Partei,8,"Heinze, Uwe",5,,1077,434,165,66,29,23,54,643*,51,21,25
902,9,Bayern Partei,9,"Roßmüller, Bettina",9,,724,724,20,32,27,26,18,22,17,21,541
902,9,Bayern Partei,10,"Blach, Helmuth Johann",12,,351,351,14,9,10,4,23,10,270,6,5
902,9,Bayern Partei,11,"Dorn, Rudolf Martin",15,,191,191,88,10,6,16,11,8,26,4,22
902,9,Bayern Partei,12,"Weber, Adolf",11,,396,396,18,127,44,47,19,34,10,41,56
902,9,Bayern Partei,13,"Prentner, Richard",8,,781,148,6,19,46,633*,14,9,15,12,27
902,9,Bayern Partei,14,"Fütterer, Rolf Helmut Wilhelm",16,,125,125,65,9,3,2,12,26,3,5,
902,9,Bayern Partei,15,"Eichholz, KlausDieter Martin",14,,196,196,9,13,52,78,8,5,7,1,23
902,9,Bayern Partei,16,"Salzberger, Annemarie",13,,281,281,32,29,13,18,25,17,23,63,61
902,9,Bayern Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,36,36,4,7,1,4,3,2,1,10,4
902,9,Bayern Partei,,Erststimmen insgesamt,,,6986,,907,754,559,633,644,643,935,747,1164
902,9,Bayern Partei,,Zweitstimmen insgesamt,,,7330,7330,1025,870,595,584,648,599,1010,729,1270
902,9,Bayern Partei,,Gesamtstimmen,,,14316,7330,1932,1624,1154,1217,1292,1242,1945,1476,2434
902,10,BüSo,1,"Zirngibl, Fritz",2,,4430,2360,246,431,2070*,454,141,190,234,254,410
902,10,BüSo,2,"Kapfer, Hans",3,,4381,2653,98,120,384,69,1630,149,1728*,108,95
902,10,BüSo,3,"Maller, Anton",6,,2662,802,54,323,73,116,29,42,62,1860*,103
902,10,BüSo,4,"Müller, HansJürgen",5,,3083,523,39,278,50,2560*,12,26,32,46,40
902,10,BüSo,5,"Hermann, Josef",1,,4432,880,59,69,49,62,3552*,63,427,68,83
902,10,BüSo,6,"Beck, Erwin",4,,3664,825,153,2839*,80,149,26,44,63,136,174
902,10,BüSo,7,"Heilmeier, Thomas",9,,1551,439,55,44,27,47,157,1112*,22,50,37
902,10,BüSo,8,"Bindhammer, Ludwig",7,,2495,758,28,190,33,433,13,18,16,27,1737*
902,10,BüSo,9,"Kuchler, Hartwin",8,,1565,333,1232*,41,14,20,17,67,99,9,66
902,10,BüSo,10,"Bredow von, HaraldIngo",15,,659,659,57,44,24,37,19,23,404,16,35
902,10,BüSo,11,"Neuhauser, Robert",10,,1472,1472,30,255,152,941,7,12,6,26,43
902,10,BüSo,12,"Ettl, Helmut",11,,873,873,37,33,27,38,16,19,107,20,576
902,10,BüSo,13,"Schedlbauer, Karl",18,,298,298,27,30,17,15,27,14,126,15,27
902,10,BüSo,14,"Ritzke, Maria",12,,802,802,39,57,468,50,25,32,35,39,57
902,10,BüSo,15,"Schuder, Robert",17,,532,532,23,161,14,13,8,75,17,209,12
902,10,BüSo,16,"Kaufmann, Kathrin",14,,731,731,20,59,419,47,16,36,33,44,57
902,10,BüSo,17,"Hackinger, Max",16,,597,597,26,43,42,35,206,55,130,14,46
902,10,BüSo,18,"Thurmeier, Florian",13,,801,801,19,124,12,42,8,10,16,543,27
902,10,BüSo,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,118,118,11,11,22,16,4,5,11,21,17
902,10,BüSo,,Erststimmen insgesamt,,,18690,,1232,2839,2070,2560,3552,1112,1728,1860,1737
902,10,BüSo,,Zweitstimmen insgesamt,,,16456,16456,1021,2313,1907,2584,2361,880,1840,1645,1905
