UniqueID,parteiID,partei,Wahlkreis,ID,Name,Geb. Jahr,Wohnort
50808,8,ÖDP,905,808,"Wolkersdorfer, Roland",1968,Schwabach
50809,8,ÖDP,905,809,"Stryz, Franz",1954,Nürnberg
50810,8,ÖDP,905,810,"Ebert, Reinhard",1963,Heidenheim
50811,8,ÖDP,905,811,"Spiegel, Norbert",1967,Alfeld
50812,8,ÖDP,905,812,"Reinhart, Manfred",1964,Buckenhof
50813,8,ÖDP,905,813,"Hager, Ludwig",1968,Nürnberg
50814,8,ÖDP,905,814,"Zankl, Claudia",1988,Nürnberg
50815,8,ÖDP,905,815,"Scherer, Simon",1982,Gunzenhausen
50816,8,ÖDP,905,816,"Schrollinger, Thomas",1968,Nürnberg
50817,8,ÖDP,905,817,"Maibom, Johannes",1957,Emskirchen
50818,8,ÖDP,905,818,"Klein, Martin",1971,Ansbach
50819,8,ÖDP,905,819,"Grahn, Leif",1978,Buckenhof
50820,8,ÖDP,905,820,"May, Daniela",1966,Emskirchen
50821,8,ÖDP,905,821,"Stadelmann, Christian",1991,Erlangen
50822,8,ÖDP,905,822,"Sichermann, Paul",1965,Ansbach
50823,8,ÖDP,905,823,"Ullmann, Christian",1954,Erlangen
50824,8,ÖDP,905,824,"Ott, Heinrich",1950,Nürnberg
50901,9,PIRATEN,905,901,"Windisch, Matthias",1964,Wendelstein
50902,9,PIRATEN,905,902,"Wanger, Markus",1983,Gunzenhausen
50903,9,PIRATEN,905,903,"Purzner, Jürgen",1963,Erlangen
50904,9,PIRATEN,905,904,"Rank, Wolfgang",1962,Röttenbach
50905,9,PIRATEN,905,905,"Warsinke, Stefan",1993,Nürnberg
50906,9,PIRATEN,905,906,"Vogel, Hilmar",1973,Fürth
50907,9,PIRATEN,905,907,"Betz, Florian",1981,Nürnberg
50908,9,PIRATEN,905,908,"Ceglar, Michael",1963,Lauf a.d.Pegnitz
50909,9,PIRATEN,905,909,"Radojevic, Daniel",1981,Aurachtal
50910,9,PIRATEN,905,910,"Turnwald-Kurtz, Erich",1956,Nürnberg
50911,9,PIRATEN,905,911,"Reitmaier, Peter",1986,Gunzenhausen
50912,9,PIRATEN,905,912,"Körber, Hayo",1983,Nürnberg
51001,10,DIE FRANKEN,905,1001,"Gattenlöhner, Robert",1956,Roth
51002,10,DIE FRANKEN,905,1002,"Brandl, Andreas",1973,Lauf a.d.Pegnitz
51003,10,DIE FRANKEN,905,1003,"Turinsky, Bianka",1980,Feucht
51004,10,DIE FRANKEN,905,1004,"Bartlitz, Dr. David",1987,Nürnberg
51005,10,DIE FRANKEN,905,1005,"Reinwald, Ulrich",1975,Nürnberg
51006,10,DIE FRANKEN,905,1006,"Gattenlöhner, Elke",1961,Roth
51007,10,DIE FRANKEN,905,1007,"Kistler, Karola",1960,Dietersheim
51008,10,DIE FRANKEN,905,1008,"Wagner, Klaus",1967,Ansbach
51009,10,DIE FRANKEN,905,1009,"Ackermann, Carola",1969,Röttenbach
51010,10,DIE FRANKEN,905,1010,"Wagner, Martin",1947,Oberasbach
51011,10,DIE FRANKEN,905,1011,"Sommerkorn, Klaus",1953,Erlangen
51012,10,DIE FRANKEN,905,1012,"Hirsch, Harald",1967,Erlangen
51013,10,DIE FRANKEN,905,1013,"Nikol, Olga",1952,Feucht
