UniqueID,parteiID,partei,Wahlkreis,ID,Name,Geb. Jahr,Wohnort
61017,10,DIE FRANKEN,906,1017,"Dürbeck, Matthias",1962,Karlstein a.Main
61018,10,DIE FRANKEN,906,1018,"Battiany-Fuchs, Renate",1949,Sommerhausen
61019,10,DIE FRANKEN,906,1019,"Steinbauer, Kurt",1957,Karlstadt
61101,11,AfD,906,1101,"Klingen, Christian",1965,Markt Einersheim
61102,11,AfD,906,1102,"Graupner, Richard",1963,Schweinfurt
61103,11,AfD,906,1103,"Gebhardt, Michael",1964,Giebelstadt
61104,11,AfD,906,1104,"Mahler, Daniela",1975,Schwarzach a.Main
61105,11,AfD,906,1105,"Peter, Martin",1971,Würzburg
61106,11,AfD,906,1106,"Schreck, Kurt",1950,Erlenbach b.Marktheidenfeld
61107,11,AfD,906,1107,"Geßner, Patrick",1984,Maßbach
