regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,501  Nürnberg-Nord,502  Nürnberg-Ost,503  Nürnberg-Süd,504  Nürnberg-West,505  Ansbach-Nord,"506  Ansbach-Süd, Weißenburg-Gunzenhausen",507  Erlangen-Höchstadt,508  Erlangen-Stadt,509  Fürth,"510  Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",511  Nürnberger Land,512  Roth
905,6,Die Linke,4,"Salzbrunn, Anton",7,,2370,631,60,39,34,37,33,16,163,1739*,144,38,37,30
905,6,Die Linke,5,"Gottwald, Monika",13,,1508,1508,89,65,71,83,69,46,96,46,655,145,85,58
905,6,Die Linke,6,"Ehnes, HansJoachim",12,,1774,1774,138,98,70,71,99,32,342,525,179,75,77,68
905,6,Die Linke,7,"Greim, Mechthild",15,,1333,1333,236,210,143,258,50,28,56,35,158,44,77,38
905,6,Die Linke,8,"Gerbig, Stefan",3,,3357,1170,299,2187*,127,248,51,32,32,37,141,68,79,56
905,6,Die Linke,9,"Stadlbauer, Gabriele",16,,875,875,77,75,43,62,53,20,124,179,119,40,39,44
905,6,Die Linke,10,"Özcan, Zeki",6,,2529,848,145,136,1681*,177,40,36,33,38,99,49,44,51
905,6,Die Linke,11,"Lüdemann, Angelika",20,,481,481,94,65,57,95,22,8,10,21,53,16,27,13
905,6,Die Linke,12,"Lefrank, Dr. Peter",19,,550,550,36,35,37,40,23,16,24,14,223,42,31,29
905,6,Die Linke,13,"Gürpinar, Ates",24,,297,297,42,38,26,30,20,9,9,45,31,20,14,13
905,6,Die Linke,14,"Förster, Henry",10,,1925,214,20,13,12,10,44,15,28,5,48,1711*,12,7
905,6,Die Linke,15,"Özen, Taylan",22,,355,355,66,41,111,36,19,4,6,2,31,15,10,14
905,6,Die Linke,16,"Pfahler, Sebastian",9,,2153,620,25,27,27,28,331,1533*,15,9,40,57,31,30
905,6,Die Linke,17,"Huber, Arno",21,,391,391,125,54,37,63,16,2,4,14,44,5,14,13
905,6,Die Linke,18,"Stroheker, Stefan",4,,3283,351,2932*,64,36,74,13,7,24,17,51,16,28,21
905,6,Die Linke,19,"Schäfer, Werner",11,,1777,276,33,82,31,22,16,15,14,12,23,19,1501*,9
905,6,Die Linke,20,"Gruber, Heinz",17,,694,694,21,20,18,26,24,433,11,8,34,14,12,73
905,6,Die Linke,21,"SchedelGschwendtner, Günther",8,,2271,198,40,49,19,2073*,3,6,6,12,20,7,22,14
905,6,Die Linke,22,"Rettlinger, Heinz",18,,689,689,21,21,37,36,89,294,16,18,32,33,46,46
