regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,601  Aschaffenburg-Ost,602  Aschaffenburg-West,603  Bad Kissingen,"604  Haßberge, Rhön-Grabfeld",605  Kitzingen,606  Main-Spessart,607  Miltenberg,608  Schweinfurt,609  Würzburg-Land,610  Würzburg-Stadt
906,5,FDP,13,"Schulte, Georg",18,,451,451,8,18,323,12,12,34,8,19,6,11
906,5,FDP,14,"Götz, Kerstin",16,,533,533,141,155,31,27,19,13,46,25,33,43
906,5,FDP,15,"Wieczorek, Jürgen",20,,302,302,4,9,9,17,16,6,1,218,11,11
906,5,FDP,16,"Wamprecht, Laura",14,,672,672,35,38,48,41,73,59,48,33,88,209
906,5,FDP,17,"Krämer, Steffen",19,,364,364,10,15,9,12,63,10,8,14,186,37
906,5,FDP,18,"Wiederer, Georg",12,,783,783,16,21,81,128,48,28,23,360,40,38
906,5,FDP,19,"Reinmuth, Jörg",17,,517,517,15,22,5,12,13,15,401,8,14,12
906,5,FDP,20,"Kuhl, Wolfgang",6,,2541,271,6,10,8,8,25,51,6,10,2270*,147
906,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,172,172,29,19,14,16,16,8,10,15,16,29
906,5,FDP,,Erststimmen insgesamt,,,20042,,1500,2205,2031,2209,1387,1074,3730,1605,2270,2031
906,5,FDP,,Zweitstimmen insgesamt,,,17599,17599,1806,2096,1842,1428,1106,1170,1746,1667,2046,2692
906,5,FDP,,Gesamtstimmen,,,37641,17599,3306,4301,3873,3637,2493,2244,5476,3272,4316,4723
906,6,Die Linke,1,"Tas, Ali Mursa",1,,5776,3223,148,230,442,620,320,275,207,2553*,401,580
906,6,Die Linke,2,"Finze, Christine",3,,3202,1798,77,94,143,206,1404*,108,109,657,198,206
906,6,Die Linke,3,"Strobel, Angelika",6,,2501,1610,891*,88,168,142,120,143,99,511,167,172
906,6,Die Linke,4,"Veziroglu, Ibrahim",10,,1615,620,243,995*,14,7,10,35,179,68,17,47
906,6,Die Linke,5,"Ziller, Wolfgang",2,,4406,2783,84,68,333,483,219,116,131,1107,1623*,242
906,6,Die Linke,6,"Liebl, Georg",8,,2416,1112,177,330,56,64,41,121,1304*,81,182,60
906,6,Die Linke,7,"Greb, Gotthard",4,,2767,523,18,34,245,2244*,29,28,21,51,52,45
906,6,Die Linke,8,"Reutlinger, Werner",5,,2638,628,26,25,2010*,334,43,43,23,56,47,31
906,6,Die Linke,9,"Lemmink, Dieter",9,,1713,774,33,57,234,95,48,939*,48,72,72,115
906,6,Die Linke,10,"Dörnhöfer, Jurij",7,,2488,978,43,68,66,100,116,149,84,93,259,1510*
906,6,Die Linke,11,"Siedler, Peter",11,,481,481,25,18,22,32,222,36,26,22,30,48
906,6,Die Linke,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,135,135,10,13,13,20,9,8,8,30,10,14
906,6,Die Linke,,Erststimmen insgesamt,,,15473,,891,995,2010,2244,1404,939,1304,2553,1623,1510
906,6,Die Linke,,Zweitstimmen insgesamt,,,14665,14665,884,1025,1736,2103,1177,1062,935,2748,1435,1560
906,6,Die Linke,,Gesamtstimmen,,,30138,14665,1775,2020,3746,4347,2581,2001,2239,5301,3058,3070
906,7,ÖDP,1,"Scholz, Steffen",1,,2719,1617,100,187,165,191,150,171,1102*,155,233,265
906,7,ÖDP,2,"Tröge, Bianca",5,,1441,443,23,25,47,32,998*,40,83,43,72,78
906,7,ÖDP,3,"Dewald, Dagmar",4,,1563,445,12,20,37,37,65,47,25,30,172,1118*
906,7,ÖDP,4,"Albert, Klemens",3,,1862,224,18,16,28,1638*,19,19,12,23,18,71
906,7,ÖDP,5,"Peeters, Walther",9,,914,290,624*,103,22,24,15,22,25,11,28,40
906,7,ÖDP,6,"HübenHolomos, Doris",6,,1007,114,,4,6,44,5,13,5,7,893*,30
906,7,ÖDP,7,"Schmidt, Helmut",10,,909,205,7,7,59,48,32,9,5,704*,22,16
906,7,ÖDP,8,"Schmitt, Bernhard",11,,881,189,118,692*,3,,3,8,35,9,6,7
906,7,ÖDP,9,"Wick, Monika",7,,991,101,2,2,890*,40,5,8,3,23,8,10
906,7,ÖDP,10,"Schwab, Michaela",12,,629,47,5,2,6,1,6,582*,2,4,11,10
906,7,ÖDP,11,"Baumgärtner, Rainer",8,,942,942,17,16,37,618,32,36,17,51,68,50
906,7,ÖDP,12,"Trump, Karola",16,,150,150,2,4,2,8,104,5,2,8,9,6
906,7,ÖDP,13,"Frey, Ulrich",2,,1950,1950,83,132,129,81,78,137,892,104,141,173
906,7,ÖDP,14,"Stürmer, Ursula",13,,546,546,97,200,31,18,18,38,61,18,24,41
906,7,ÖDP,15,"Binder, Raimund",14,,430,430,9,1,6,5,17,23,2,10,117,240
906,7,ÖDP,16,"Grund, Georg",19,,123,123,2,5,11,3,8,6,5,12,20,51
906,7,ÖDP,17,"KellyProbst, Imma",20,,102,102,3,3,13,4,3,6,7,53,5,5
906,7,ÖDP,18,"Pauluhn, Jens",15,,376,376,1,3,6,3,327,2,,10,13,11
906,7,ÖDP,19,"Schicker, AnnaElisabeth",17,,128,128,3,2,18,9,11,14,7,11,23,30
906,7,ÖDP,20,"Reis, Manfred",18,,128,128,5,11,3,2,3,,86,8,7,3
906,7,ÖDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,74,74,5,6,9,7,7,6,3,16,6,9
906,7,ÖDP,,Erststimmen insgesamt,,,9241,,624,692,890,1638,998,582,1102,704,893,1118
906,7,ÖDP,,Zweitstimmen insgesamt,,,8624,8624,512,749,638,1175,908,610,1277,606,1003,1146
906,7,ÖDP,,Gesamtstimmen,,,17865,8624,1136,1441,1528,2813,1906,1192,2379,1310,1896,2264
906,8,REP,1,"Seifert, Berthold",2,,3947,2252,173,183,181,227,226,256,189,475,1695*,342
906,8,REP,2,"Graupner, Richard",1,,6138,4078,308,266,576,650,423,350,290,2060*,976,239
906,8,REP,3,"Langanki, Jürgen",4,,1517,329,35,19,60,16,25,1188*,31,74,49,20
906,8,REP,4,"Schmittner, Uwe",5,,1397,396,109,1001*,10,9,6,29,141,60,22,10
906,8,REP,5,"Hebling, HansJoachim",6,,1368,499,16,24,23,37,20,60,27,63,229,869*
906,8,REP,6,"Madeiski, Sebastian",9,,1315,423,892*,18,12,14,16,9,8,325,16,5
906,8,REP,7,"Ewert, Monika",8,,1341,487,134,166,15,12,854*,35,69,23,22,11
906,8,REP,8,"Bendel, Holger",7,,1355,293,13,6,25,1062*,96,18,16,80,27,12
906,8,REP,9,"Künzel, Michael",3,,1717,542,130,177,1175*,18,16,63,81,27,18,12
906,8,REP,10,"Goebel, Walter",10,,1004,69,7,22,6,6,,6,935*,10,5,7
906,8,REP,11,"Kienast, ErnstAlfred",16,,174,174,6,2,18,2,9,24,6,21,63,23
906,8,REP,12,"Wiebe, Edeltraud",12,,312,312,6,8,11,15,25,45,7,20,90,85
906,8,REP,13,"Hohmann, Albert",15,,183,183,3,2,120,9,4,18,8,12,2,5
906,8,REP,14,"Sommer, Reinhart",20,,67,67,2,2,4,2,1,18,6,4,22,6
906,8,REP,15,"Bendel, Corinna",13,,266,266,5,7,12,95,34,19,11,59,16,8
906,8,REP,16,"Brönner, Kurt",17,,152,152,52,65,2,,2,3,23,3,2,
906,8,REP,17,"Hahn, Karl",14,,184,184,3,4,117,11,3,14,1,18,11,2
906,8,REP,18,"Wehr, Manfred",11,,460,460,14,10,19,14,19,77,17,45,121,124
906,8,REP,19,"Wagner, Karl",18,,127,127,1,1,8,7,75,9,5,6,12,3
906,8,REP,20,"Smazal, Ernst",19,,115,115,1,5,2,5,2,11,79,4,5,1
906,8,REP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,78,78,6,7,8,6,7,3,3,21,8,9
906,8,REP,,Erststimmen insgesamt,,,11731,,892,1001,1175,1062,854,1188,935,2060,1695,869
906,8,REP,,Zweitstimmen insgesamt,,,11486,11486,1024,994,1229,1155,1009,1067,1018,1350,1716,924
906,8,REP,,Gesamtstimmen,,,23217,11486,1916,1995,2404,2217,1863,2255,1953,3410,3411,1793
906,9,Bayern Partei,1,"Hartmann, Uwe",1,,2309,1107,83,125,101,147,1202*,131,97,135,199,89
906,9,Bayern Partei,2,"Elbert, Stefan",2,,1731,784,273,947*,30,40,107,53,196,23,52,10
906,9,Bayern Partei,3,"Gilbert, Uta",3,,1570,499,37,29,37,99,161,29,29,1071*,35,43
906,9,Bayern Partei,4,"Groß, Günter",7,,1019,126,5,10,893*,36,10,13,11,23,7,11
906,9,Bayern Partei,5,"Grimm, Gisela",9,,836,329,18,16,20,29,29,36,21,40,120,507*
906,9,Bayern Partei,6,"Amend, Florian",10,,816,103,14,12,28,4,6,713*,15,7,8,9
906,9,Bayern Partei,7,"Mertel, Alexander",8,,977,305,672*,184,4,9,14,12,56,6,9,11
906,9,Bayern Partei,8,"Götz, Thorsten",4,,1092,311,12,7,67,781*,22,16,6,150,22,9
906,9,Bayern Partei,9,"Bergler, Volker",5,,1060,246,11,10,8,34,19,32,19,15,814*,98
906,9,Bayern Partei,10,"Soder, Markus",6,,1033,237,59,126,8,5,12,10,796*,4,9,4
906,9,Bayern Partei,11,"Gilbert, Raimund",19,,121,121,7,7,5,23,22,3,3,30,10,11
906,9,Bayern Partei,12,"Elbert, Stephanie",12,,284,284,62,131,6,8,1,9,44,7,9,7
906,9,Bayern Partei,13,"Somorowsky, Claudia",15,,203,203,1,3,2,4,176,2,1,1,4,9
