regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,101  München-Hadern,102  München-Bogenhausen,103  München-Giesing,104  München-Milbertshofen,105  München-Moosach,106  München-Pasing,107  München-Ramersdorf,108  München-Schwabing,109  München-Mitte,110  Altötting,"111  Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",112  Berchtesgadener Land,113  Dachau,114  Ebersberg,115  Eichstätt,116  Erding,117  Freising,118  Fürstenfeldbruck-Ost,119  Ingolstadt,"120  Landsberg am Lech, Fürstenfeldbruck-West",121  Miesbach,122  Mühldorf a.Inn,123  München-Land-Nord,124  München-Land-Süd,125  Neuburg-Schrobenhausen,126  Pfaffenhofen a.d.Ilm,127  Rosenheim-Ost,128  Rosenheim-West,129  Starnberg,130  Traunstein,131  Weilheim-Schongau
901,5,FDP,38,"Walter, Katharina",37,38,,784,784,60,39,56,51,46,34,36,56,41,9,19,7,21,14,5,20,24,19,24,28,11,6,42,33,7,5,11,15,24,10,11
901,5,FDP,39,"Breil, Klaus",39,39,,745,745,5,18,11,7,9,9,14,21,11,1,45,2,5,5,9,11,8,14,5,23,4,1,10,16,5,1,3,8,216,6,242
901,5,FDP,40,"Helmers, Antje",50,40,,714,714,14,2,16,6,11,8,10,5,7,10,56,7,17,9,5,11,11,8,12,21,341,4,16,18,8,8,9,23,10,7,24
901,5,FDP,41,"Hohenthaner, Johannes",44,41,,704,704,29,35,49,47,41,50,35,50,36,4,12,6,20,15,10,12,22,18,16,12,4,11,53,50,3,7,11,14,10,8,14
901,5,FDP,42,"Prinzbach, Cécile",33,42,,691,691,31,51,53,63,40,35,35,71,51,4,17,5,11,17,7,11,15,12,13,17,9,3,30,34,5,4,8,11,17,5,6
901,5,FDP,43,"Will, Renate",32,43,,677,677,11,15,16,11,6,9,19,11,8,7,7,9,15,272,5,25,12,9,10,15,6,8,69,34,3,5,13,17,12,5,13
901,5,FDP,44,"Cerveny, Vaclav",42,44,,664,664,16,24,27,24,20,18,28,27,27,11,8,6,16,117,5,13,18,12,7,14,20,14,29,34,13,5,27,43,9,16,16
901,5,FDP,45,"Tietgen, Christian",46,45,,663,663,7,3,15,5,7,11,5,3,2,7,12,8,35,9,6,12,8,330,13,64,7,13,9,21,4,9,7,3,12,6,10
901,5,FDP,46,"Teichmann, Andreas",48,46,,637,637,3,9,9,10,2,21,3,11,12,2,6,4,31,5,5,5,10,338,5,54,6,4,12,14,5,7,3,6,26,3,6
901,5,FDP,47,"Schmohl, Dr. Andreas",52,47,,628,628,20,9,14,20,19,21,9,18,19,9,7,3,269,6,4,18,19,18,10,14,9,3,20,15,5,6,8,4,8,13,11
901,5,FDP,48,"Neudert, Thomas",51,48,,624,624,2,3,2,4,2,3,4,1,1,0,2,2,7,5,8,2,36,2,22,4,2,1,1,3,13,484,1,3,0,2,2
901,5,FDP,49,"Gladbach, Beate",56,49,,611,611,4,2,10,8,5,9,19,7,11,4,2,4,12,6,141,7,4,6,213,11,4,6,8,7,22,58,4,0,7,6,4
901,5,FDP,50,"Hartung, Dr. Hannes",38,50,,584,584,14,14,22,13,6,12,10,33,17,4,77,2,7,14,5,15,9,8,7,17,11,5,21,142,3,6,7,13,49,7,14
