regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,401BambergLand,402BambergStadt,403Bayreuth,404Coburg,405Forchheim,406Hof,"407Kronach,Lichtenfels",408WunsiedelKulmbach
904,4,Grüne,2,"Waldmann, Karl",3,,7561,2105,114,174,1509,121,5456*,63,43,81
904,4,Grüne,3,"Sowa, Ursula",2,,11259,7489,3770*,5684,753,228,426,78,211,109
904,4,Grüne,4,"Lauterbach, Bernd",5,,6359,1705,170,142,434,4654*,232,148,411,168
904,4,Grüne,5,"Schoerner, Christine",8,,3646,505,42,26,174,53,38,3141*,23,149
904,4,Grüne,6,"Lösche, Andreas",4,,6787,991,536,5796*,143,79,65,88,43,37
904,4,Grüne,7,"Artmann, Brigitte",7,,4095,320,33,17,99,33,20,96,22,3775*
904,4,Grüne,8,"Wesolek, Helmut",9,,3451,721,55,79,132,182,79,74,2730*,120
904,4,Grüne,9,"Mayer, Magdalena",13,,1185,1185,421,378,107,50,87,30,63,49
904,4,Grüne,10,"Kukla, Wilfried",15,,796,796,3,6,41,8,10,26,3,699
904,4,Grüne,11,"Prechtel, Dr. Annette",6,,4289,4289,162,102,532,97,3243,52,49,52
904,4,Grüne,12,"Schrader, Dr. Klaus",10,,2359,2359,40,76,146,80,50,1754,40,173
904,4,Grüne,13,"Memmel, Edith",12,,1808,1808,61,85,137,511,52,32,857,73
904,4,Grüne,14,"Fischer, Klaus",16,,613,613,179,215,72,41,49,13,25,19
904,4,Grüne,15,"BenzelWeyh, Martina",11,,2228,2228,21,36,79,1969,19,15,54,35
904,4,Grüne,16,"Heßberg von, Andreas",14,,1156,1156,22,39,889,50,32,30,27,67
904,4,Grüne,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,346,346,25,54,71,47,54,28,28,39
904,4,Grüne,,Erststimmen insgesamt,,,36083,,3770,5796,6761,4654,5456,3141,2730,3775
904,4,Grüne,,Zweitstimmen insgesamt,,,39123,39123,2960,8259,5318,5127,5991,4135,2937,4396
904,4,Grüne,,Gesamtstimmen,,,75206,39123,6730,14055,12079,9781,11447,7276,5667,8171
904,5,FDP,1,"Hacker, Thomas",1,,9159,4779,377,641,4380*,677,713,729,578,1064
904,5,FDP,2,"Nagel, Thomas",2,,3092,1293,33,45,925,47,57,71,115,1799*
904,5,FDP,3,"Cukrowski, Björn",7,,1670,295,21,35,95,39,38,29,1375*,38
